"","quad","year","trackID","area","survives","age","distEdgeMin","allEdge","seedling","QuadName","Grazing","Group"
"1","Q1",32,5,81.5594163235146,1,1,-1.95275760006552e-08,0,0,"E1 Q1","UG","E1"
"2","Q1",32,2,130.375972657483,1,1,2.24188783561145,0,0,"E1 Q1","UG","E1"
"3","Q1",32,4,136.409536059425,1,1,7.67280112929136,0,0,"E1 Q1","UG","E1"
"4","Q1",32,1,47.167801358278,1,1,7.19579418273497e-09,0,0,"E1 Q1","UG","E1"
"5","Q1",32,3,156.21367798788,0,1,5.76971283708805,0,0,"E1 Q1","UG","E1"
"6","Q1",33,7,21.3694819430977,1,1,5.85136751299147,0,0,"E1 Q1","UG","E1"
"7","Q1",33,1,61.684482519634,1,2,-1.85389268381186e-08,0,0,"E1 Q1","UG","E1"
"8","Q1",33,2,242.757824936531,1,2,2.50678705940615,0,0,"E1 Q1","UG","E1"
"9","Q1",33,6,134.922737426658,1,1,11.6781230081257,0,0,"E1 Q1","UG","E1"
"10","Q1",33,4,168.516115092492,1,2,5.69469411341553,0,0,"E1 Q1","UG","E1"
"11","Q1",33,8,9.5969245374107,0,1,9.16895714908605e-09,1,0,"E1 Q1","UG","E1"
"12","Q1",33,5,97.6785498329363,1,2,9.16895714908605e-09,0,0,"E1 Q1","UG","E1"
"13","Q1",34,4,96.167382926568,1,3,6.97301208435003,0,0,"E1 Q1","UG","E1"
"14","Q1",34,7,53.4940371572887,1,2,0.281508173798386,0,0,"E1 Q1","UG","E1"
"15","Q1",34,9,55.4646231417502,1,1,1.40410572058158e-08,0,0,"E1 Q1","UG","E1"
"16","Q1",34,6,39.9575854460277,1,2,20.5665886238811,0,0,"E1 Q1","UG","E1"
"17","Q1",34,1,31.3722549131138,1,3,2.99650424578031,0,0,"E1 Q1","UG","E1"
"18","Q1",34,5,35.6315835452529,1,3,0.126283954762869,0,0,"E1 Q1","UG","E1"
"19","Q1",34,2,156.24975463828,1,3,5.35933396468924,0,0,"E1 Q1","UG","E1"
"20","Q1",35,9,109.402256384884,1,2,-9.7843011470644e-09,0,0,"E1 Q1","UG","E1"
"21","Q1",35,5,129.142221000534,1,4,0.13938941034381,0,0,"E1 Q1","UG","E1"
"22","Q1",35,15,0.25,0,1,39.9942558502892,0,1,"E1 Q1","UG","E1"
"23","Q1",35,10,17.6934656183046,1,1,0.00537925228796254,1,0,"E1 Q1","UG","E1"
"24","Q1",35,14,0.25,0,1,36.6830480347055,0,1,"E1 Q1","UG","E1"
"25","Q1",35,11,10.9946956274627,1,1,-7.08493264056642e-09,0,0,"E1 Q1","UG","E1"
"26","Q1",35,13,0.25,0,1,0.699594094943194,1,1,"E1 Q1","UG","E1"
"27","Q1",35,6,79.8875597300078,1,3,17.548323030493,0,0,"E1 Q1","UG","E1"
"28","Q1",35,7,145.357750452458,1,3,5.79831131017615,0,0,"E1 Q1","UG","E1"
"29","Q1",35,1,53.9055884750234,1,4,-1.71808522964056e-08,0,0,"E1 Q1","UG","E1"
"30","Q1",35,4,198.953203552447,1,4,4.80641910950962,0,0,"E1 Q1","UG","E1"
"31","Q1",35,2,390.048255061865,1,4,-1.71808522964056e-08,0,0,"E1 Q1","UG","E1"
"32","Q1",35,16,0.25,0,1,4.6283097236021,0,1,"E1 Q1","UG","E1"
"33","Q1",35,12,0.25,0,1,7.5185253512938,0,1,"E1 Q1","UG","E1"
"34","Q1",36,9,23.3131877233242,1,3,1.42600661987435,0,0,"E1 Q1","UG","E1"
"35","Q1",36,1,32.7496825566915,1,5,1.71071405929979e-08,0,0,"E1 Q1","UG","E1"
"36","Q1",36,4,183.281989528734,1,5,5.55815818356918,0,0,"E1 Q1","UG","E1"
"37","Q1",36,7,86.6712113997156,1,4,5.93004880250415,0,0,"E1 Q1","UG","E1"
"38","Q1",36,6,89.322991937919,1,4,12.5422175299126,0,0,"E1 Q1","UG","E1"
"39","Q1",36,11,27.6075793467709,0,2,-3.39669403714993e-09,1,0,"E1 Q1","UG","E1"
"40","Q1",36,5,140.348930859443,1,5,0.158175336434255,0,0,"E1 Q1","UG","E1"
"41","Q1",36,2,243.00443645876,1,5,1.71071405929979e-08,0,0,"E1 Q1","UG","E1"
"42","Q1",37,5,149.20396305756,1,6,0.114279265936233,0,0,"E1 Q1","UG","E1"
"43","Q1",37,9,23.9158262476729,0,4,2.01063474479416,0,0,"E1 Q1","UG","E1"
"44","Q1",37,4,194.712049460522,1,6,9.71242457442586,0,0,"E1 Q1","UG","E1"
"45","Q1",37,7,172.028314874747,1,5,5.37299565044475,0,0,"E1 Q1","UG","E1"
"46","Q1",37,2,481.335962706892,1,6,8.71821725922928e-09,0,0,"E1 Q1","UG","E1"
"47","Q1",37,6,188.866999101858,1,5,6.85443863455585,0,0,"E1 Q1","UG","E1"
"48","Q1",37,1,39.8014413636374,1,6,8.71821725922928e-09,0,0,"E1 Q1","UG","E1"
"49","Q1",38,6,189.228045046824,1,6,4.89463939063718,0,0,"E1 Q1","UG","E1"
"50","Q1",38,4,351.745450470412,1,7,2.24757299773785,0,0,"E1 Q1","UG","E1"
"51","Q1",38,7,224.775238429701,1,6,1.47123131455373e-08,0,0,"E1 Q1","UG","E1"
"52","Q1",38,2,642.799806320592,1,7,1.47123131455373e-08,0,0,"E1 Q1","UG","E1"
"53","Q1",38,5,222.764441709561,1,7,0.0400425346975197,0,0,"E1 Q1","UG","E1"
"54","Q1",38,10,29.4476670558018,0,4,-2.12217021733352e-08,1,0,"E1 Q1","UG","E1"
"55","Q1",38,1,49.5807676062001,1,7,1.47123131455373e-08,0,0,"E1 Q1","UG","E1"
"56","Q1",39,2,668.492968713982,1,8,0.086762860194284,0,0,"E1 Q1","UG","E1"
"57","Q1",39,4,231.653764852469,1,8,5.62292847408965,0,0,"E1 Q1","UG","E1"
"58","Q1",39,6,68.8002246255151,0,7,-2.15750195486919e-09,0,0,"E1 Q1","UG","E1"
"59","Q1",39,1,56.0206151802917,1,8,2.21048566118043e-08,0,0,"E1 Q1","UG","E1"
"60","Q1",39,5,228.999625374591,1,8,0.195235491082911,0,0,"E1 Q1","UG","E1"
"61","Q1",39,7,230.107835637837,1,7,0.259426909272676,0,0,"E1 Q1","UG","E1"
"62","Q1",40,2,827.459502607642,1,9,0.0420182961654376,0,0,"E1 Q1","UG","E1"
"63","Q1",40,5,189.718964887424,1,9,0.0563753462907641,0,0,"E1 Q1","UG","E1"
"64","Q1",40,6,0.91014177362,0,8,25.2486714724851,0,0,"E1 Q1","UG","E1"
"65","Q1",40,1,98.0860501143933,1,9,-1.1992540294159e-10,0,0,"E1 Q1","UG","E1"
"66","Q1",40,7,212.923518479326,1,8,0.0616730040120359,0,0,"E1 Q1","UG","E1"
"67","Q1",40,4,318.619080735228,1,9,4.10863157388672,0,0,"E1 Q1","UG","E1"
"68","Q1",41,2,942.343604655934,1,10,1.78211791990179e-08,0,0,"E1 Q1","UG","E1"
"69","Q1",41,5,174.541828953192,1,10,0.0859253632953738,0,0,"E1 Q1","UG","E1"
"70","Q1",41,4,405.084906392352,1,10,0.88998473513186,0,0,"E1 Q1","UG","E1"
"71","Q1",41,7,186.842810481447,1,9,0.220142548335886,0,0,"E1 Q1","UG","E1"
"72","Q1",41,1,88.3022661746847,1,10,-1.49910750479876e-08,0,0,"E1 Q1","UG","E1"
"73","Q1",45,2,1032.59821944948,1,14,0.0579487804684362,0,0,"E1 Q1","UG","E1"
"74","Q1",45,23,0.25,1,1,7.9765878517204,0,0,"E1 Q1","UG","E1"
"75","Q1",45,1,234.960092459663,1,14,-7.37394034722172e-09,0,0,"E1 Q1","UG","E1"
"76","Q1",45,21,0.25,0,1,42.1539800710507,0,1,"E1 Q1","UG","E1"
"77","Q1",45,4,324.617104612892,1,14,2.50583003529906,0,0,"E1 Q1","UG","E1"
"78","Q1",45,22,0.25,0,1,1.78064643970001,1,1,"E1 Q1","UG","E1"
"79","Q1",45,5,179.437932226591,1,14,0.192694091049333,0,0,"E1 Q1","UG","E1"
"80","Q1",45,7,207.726007572019,1,13,4.09841988239455,0,0,"E1 Q1","UG","E1"
"81","Q1",46,5,111.111875685864,1,15,0.855607371335495,0,0,"E1 Q1","UG","E1"
"82","Q1",46,2,713.869612340542,1,15,-9.84714176865964e-09,0,0,"E1 Q1","UG","E1"
"83","Q1",46,7,179.652047881544,1,14,4.63270970169627,0,0,"E1 Q1","UG","E1"
"84","Q1",46,23,0.9582343407433,1,2,6.3175980190381,0,0,"E1 Q1","UG","E1"
"85","Q1",46,4,132.44726048904,1,15,2.69115423432189,0,0,"E1 Q1","UG","E1"
"86","Q1",46,24,0.25,0,1,18.9667417682058,0,1,"E1 Q1","UG","E1"
"87","Q1",46,1,97.9425528294286,0,15,-9.84714176865964e-09,0,0,"E1 Q1","UG","E1"
"88","Q1",49,7,306.125840106615,1,17,-2.20404956507991e-08,0,0,"E1 Q1","UG","E1"
"89","Q1",49,2,521.225173122875,1,18,-2.20404956507991e-08,0,0,"E1 Q1","UG","E1"
"90","Q1",49,4,29.9326221220997,1,18,17.0544823753103,0,0,"E1 Q1","UG","E1"
"91","Q1",49,25,1.3705786103347,0,1,36.6574605305937,0,0,"E1 Q1","UG","E1"
